2026-01-11 16:59:59,031 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:00:09,252 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:00:09,269 - INFO - Action: APP_START | Details: User launched application
2026-01-11 17:00:09,579 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-11 17:00:18,226 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:00:19,205 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:00:19,211 - INFO - Action: MODEL_LOAD_ERROR | Details: Error: [Errno 2] No such file or directory: 'xgb_model.pkl'
2026-01-11 17:01:43,930 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:01:46,352 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:01:46,364 - INFO - Action: APP_START | Details: User launched application
2026-01-11 17:01:46,631 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-11 17:01:48,886 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:01:49,066 - INFO - Action: MODEL_LOAD | Details: XGBoost model loaded
2026-01-11 17:01:55,265 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:01:55,369 - INFO - Action: PREDICTION_ERROR | Details: Error: X has 11 features, but ColumnTransformer is expecting 9 features as input.
2026-01-11 17:02:24,167 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 17:02:26,208 - INFO - Action: PAGE_VIEW | Details: Analytics
2026-01-11 17:02:28,671 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:02:29,747 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-11 17:03:24,919 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:03:26,852 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:03:26,932 - INFO - Action: PREDICTION_ERROR | Details: Error: X has 11 features, but ColumnTransformer is expecting 9 features as input.
2026-01-11 17:06:41,975 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:06:47,864 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:06:47,879 - INFO - Action: APP_START | Details: User launched application
2026-01-11 17:06:48,160 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-11 17:06:51,499 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:06:51,544 - INFO - Action: MODEL_LOAD | Details: XGBoost model loaded
2026-01-11 17:06:52,941 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:06:53,072 - INFO - Action: BREACH_PREDICTION | Details: Prediction: 1, Probability: [0.46581692 0.5341831 ]
2026-01-11 17:08:49,644 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:08:52,005 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:08:52,015 - INFO - Action: APP_START | Details: User launched application
2026-01-11 17:08:52,352 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-11 17:08:56,695 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:08:56,740 - INFO - Action: MODEL_LOAD | Details: XGBoost model loaded
2026-01-11 17:11:35,291 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:11:39,453 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:11:39,474 - INFO - Action: APP_START | Details: User launched application
2026-01-11 17:11:39,741 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-11 17:11:46,113 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:11:49,852 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:11:49,993 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 1 - Cost: £1,755.00
2026-01-11 17:11:50,236 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:11:56,808 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:11:57,001 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 2 - Deviation: 3.67
2026-01-11 17:11:57,241 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:12:01,844 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:12:05,111 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:12:05,380 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 3 - Cost: £1,762.00
2026-01-11 17:12:05,687 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:12:09,412 - INFO - Action: PAGE_VIEW | Details: Analytics
2026-01-11 17:12:12,612 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 17:12:14,613 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 17:12:14,626 - INFO - Action: SAMPLING | Details: Size: 400, Seed: 67
2026-01-11 17:12:14,924 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 17:12:20,518 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:12:20,648 - INFO - Action: MODEL_LOAD | Details: XGBoost model loaded
2026-01-11 17:12:22,926 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:12:23,036 - INFO - Action: BREACH_PREDICTION | Details: Prediction: 1, Probability: [0.46581692 0.5341831 ]
2026-01-11 17:12:38,941 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 17:12:42,422 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:16:22,070 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:16:25,790 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:16:25,807 - INFO - Action: APP_START | Details: User launched application
2026-01-11 17:16:26,057 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-11 17:16:34,501 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:16:36,239 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:16:36,388 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 1 - Cost: £1,755.00
2026-01-11 17:16:36,639 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:16:47,057 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:16:47,269 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 2 - Deviation: 3.67
2026-01-11 17:16:47,551 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:16:52,307 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:16:52,567 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 3 - Cost: £1,762.00
2026-01-11 17:16:52,833 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 17:16:55,659 - INFO - Action: PAGE_VIEW | Details: Analytics
2026-01-11 17:16:58,438 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 17:17:00,490 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 17:17:00,505 - INFO - Action: SAMPLING | Details: Size: 400, Seed: 67
2026-01-11 17:17:00,781 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 17:17:09,524 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:17:09,576 - INFO - Action: MODEL_LOAD | Details: XGBoost model loaded
2026-01-11 17:17:11,558 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:17:11,639 - INFO - Action: BREACH_PREDICTION | Details: Prediction: 1, Probability: [0.46581692 0.5341831 ]
2026-01-11 17:22:41,446 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:22:43,726 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 17:22:43,743 - INFO - Action: APP_START | Details: User launched application
2026-01-11 17:22:43,992 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-11 17:22:46,772 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:22:46,816 - INFO - Action: MODEL_LOAD | Details: XGBoost model loaded
2026-01-11 17:22:48,720 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:22:48,799 - INFO - Action: BREACH_PREDICTION | Details: Prediction: 1, Probability: [0.46581692 0.5341831 ]
2026-01-11 17:25:13,876 - INFO - Action: APP_EXIT | Details: User exited application
2026-01-11 17:26:30,036 - INFO - Action: DEMO_DATA_LOADED | Details: Demo dataset loaded
2026-01-11 17:26:30,281 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-11 17:26:33,029 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:26:36,142 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:26:36,222 - INFO - Action: BREACH_PREDICTION | Details: Prediction: 1, Probability: [0.46581692 0.5341831 ]
2026-01-11 17:31:20,259 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 17:31:22,934 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:31:24,393 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 17:31:50,077 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 17:31:51,023 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 17:31:52,591 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 17:31:53,002 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 17:31:55,005 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 17:31:56,335 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 17:31:57,579 - INFO - Action: PAGE_VIEW | Details: Analytics
2026-01-11 17:31:58,407 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 17:32:04,075 - INFO - Action: APP_EXIT | Details: User exited application
2026-01-11 18:28:26,179 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 18:28:36,635 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 18:28:36,650 - INFO - Action: APP_START | Details: User launched application
2026-01-11 18:28:36,903 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-11 18:28:47,193 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 18:28:52,187 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 18:28:52,301 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 1 - Cost: £1,755.00
2026-01-11 18:28:52,608 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 18:29:09,900 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 18:29:10,101 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 2 - Deviation: 3.67
2026-01-11 18:29:10,355 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 18:29:18,279 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 18:29:21,645 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 18:29:24,503 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 18:29:26,563 - INFO - Action: PAGE_VIEW | Details: Analytics
2026-01-11 18:29:36,676 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:29:40,535 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:29:40,553 - INFO - Action: SAMPLING | Details: Size: 400, Seed: 67
2026-01-11 18:29:40,808 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:29:56,285 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:29:56,882 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:29:57,759 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:29:57,767 - INFO - Action: SAMPLING | Details: Size: 400, Seed: 69
2026-01-11 18:29:57,968 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:30:00,972 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:30:01,532 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:30:02,027 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:30:02,286 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:30:02,913 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:30:04,951 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:30:04,968 - INFO - Action: SAMPLING | Details: Size: 500, Seed: 69
2026-01-11 18:30:05,256 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 18:30:12,280 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:30:12,310 - INFO - Action: MODEL_LOAD | Details: XGBoost model loaded
2026-01-11 18:30:40,659 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:30:40,739 - INFO - Action: BREACH_PREDICTION | Details: Prediction: 1, Probability: [0.46581692 0.5341831 ]
2026-01-11 18:30:51,984 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:30:53,804 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:30:54,152 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:30:54,399 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:30:55,477 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:30:56,908 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:30:59,432 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:30:59,730 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:31:04,596 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:31:07,901 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:31:09,794 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:31:10,111 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:31:10,962 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:31:11,959 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:31:13,899 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 18:31:13,978 - INFO - Action: BREACH_PREDICTION | Details: Prediction: 0, Probability: [0.54608643 0.45391357]
2026-01-11 18:31:30,451 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 18:32:00,972 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 18:32:07,336 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 18:32:09,123 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 18:32:18,791 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 18:32:19,179 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 21:58:33,910 - INFO - Action: SYSTEM_RESET | Details: Application reset to initial state
2026-01-11 21:59:24,465 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 21:59:34,842 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-11 21:59:34,876 - INFO - Action: APP_START | Details: User launched application
2026-01-11 21:59:35,057 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-11 21:59:53,840 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 21:59:57,231 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 21:59:57,844 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 1 - Cost: £1,755.00
2026-01-11 21:59:58,066 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 22:00:09,896 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 22:00:18,508 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 22:00:18,886 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 2 - Deviation: 3.67
2026-01-11 22:00:19,209 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 22:00:29,500 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 22:00:29,899 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 3 - Cost: £1,762.00
2026-01-11 22:00:30,111 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-11 22:00:33,026 - INFO - Action: PAGE_VIEW | Details: Analytics
2026-01-11 22:00:49,760 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 22:00:52,168 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 22:00:54,914 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 22:00:54,934 - INFO - Action: SAMPLING | Details: Size: 350, Seed: 67
2026-01-11 22:00:55,226 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-11 22:01:17,602 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:22,198 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:25,871 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:26,186 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:26,454 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:28,043 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:30,067 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:30,349 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:31,172 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:33,363 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:36,795 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:38,589 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:38,902 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:40,160 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-11 22:01:40,279 - INFO - Action: BREACH_PREDICTION | Details: Prediction: 0, Probability: [0.60082746 0.39917254]
2026-01-11 22:01:48,214 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 22:02:03,379 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 22:02:07,525 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 22:02:09,019 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 22:02:16,196 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 22:02:16,501 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 22:02:16,549 - INFO - Action: DATA_MODIFY | Details: Updated 2 records: Age changed from [102, 101] to 77.0
2026-01-11 22:02:16,796 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-11 22:02:29,457 - INFO - Action: SYSTEM_RESET | Details: Application reset to initial state
